,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
340,Brandon Lloyd\LloyBr00,DEN,WR,28,2,1,0,0,0,0,0,0,0,,0,18,8,117,14.63,0,12,22.7,15.7,,117,
341,Ovie Mughelli\MughOv00,ATL,RB,29,14,7,0,0,0,0,0,4,10,2.50,0,10,7,51,7.29,1,12,19.1,15.6,,108,
342,Jarett Dillard\DillJa00,JAX,WR,24,7,0,0,0,0,0,0,0,0,,0,8,6,106,17.67,0,11,19.6,13.6,,120,
343,Brian Finneran\FinnBr00,ATL,WR,33,10,2,0,0,0,0,0,0,0,,0,16,11,111,10.09,0,11,25.1,16.6,,118,
344,Lavelle Hawkins\HawkLa00,TEN,WR,23,10,0,0,0,0,0,0,0,0,,0,14,7,110,15.71,0,11,21.0,14.5,,119,
345,Tarvaris Jackson\JackTa00,MIN,QB,26,8,0,14,21,201,1,0,17,-10,-0.59,0,0,0,0,,0,11,11.0,11.0,,55,
346,Matt Leinart\LeinMa00,ARI,QB,26,8,1,51,77,435,0,3,9,-6,-0.67,0,0,0,0,,0,11,16.3,12.8,,56,
347,Brian Robiskie\RobiBr00,CLE,WR,22,11,1,0,0,0,0,0,0,0,,0,20,7,106,15.14,0,11,20.6,14.1,,121,
348,Tom Santi\SantTo00,IND,TE,24,3,2,0,0,0,0,0,0,0,,0,11,8,107,13.38,0,11,21.2,13.7,,63,
349,Eldra Buckley\BuckEl00,PHI,RB,24,16,0,0,0,0,0,0,15,44,2.93,1,0,0,0,,0,10,10.4,10.4,,109,
350,Jacob Hester\HestJa00,SDG,RB,24,15,10,0,0,0,0,0,21,74,3.52,0,11,9,24,2.67,0,10,24.3,19.3,,110,
351,Ruvell Martin\MartRu00,STL,WR,27,8,0,0,0,0,0,0,0,0,,0,12,6,99,16.50,0,10,15.9,12.9,,123,
352,Kevin Ogletree\OgleKe00,DAL,WR,22,11,0,0,0,0,0,0,1,6,6.00,0,8,7,96,13.71,0,10,16.2,11.7,,122,
